gene_id,entrez_id,gene_name,symbol,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12
ENSG00000005379,9256,BZRAP1,BZRAP1,4,3,4,3,16,9,10,22,0,2,3,6
ENSG00000005381,4353,MPO,MPO,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000005421,5444,PON1,PON1,1,8,4,1,10,3,3,1,1,6,3,4
ENSG00000005436,6936,GCFC2,GCFC2,102,63,65,86,78,78,146,128,57,78,108,132
ENSG00000005448,84058,WDR54,WDR54,1,4,8,0,0,16,0,5,2,1,9,8
ENSG00000005469,54677,CROT,CROT,3,1,8,10,12,5,3,2,5,14,12,6
ENSG00000005471,5244,ABCB4,ABCB4,28,32,47,43,41,27,34,19,18,36,40,45
ENSG00000005483,55904,KMT2E,KMT2E,7,6,7,5,3,3,0,1,7,5,2,2
ENSG00000005486,57414,RHBDD2,RHBDD2,24,14,11,21,31,14,30,28,17,13,8,7
ENSG00000005513,30812,SOX8,SOX8,53,30,25,17,22,25,59,16,32,41,37,10
ENSG00000005700,25998,IBTK,IBTK,0,9,0,0,3,12,0,0,0,2,0,1
ENSG00000005801,7748,ZNF195,ZNF195,6,46,2,3,12,30,14,20,26,14,13,27
ENSG00000005810,23077,MYCBP2,MYCBP2,51,91,78,16,45,106,44,44,119,84,92,56
ENSG00000005812,26224,FBXL3,FBXL3,29,19,22,9,9,7,18,21,27,14,12,2
ENSG00000005844,3683,ITGAL,ITGAL,34,4,13,7,6,36,18,38,32,7,34,27
ENSG00000005882,5164,PDK2,PDK2,13,25,19,20,16,17,3,26,18,28,4,14
ENSG00000005884,3675,ITGA3,ITGA3,24,23,17,24,15,20,13,28,8,27,8,10
ENSG00000005889,7543,ZFX,ZFX,7,3,3,1,0,21,3,2,9,0,3,3
ENSG00000005893,3920,LAMP2,LAMP2,20,12,32,12,14,39,6,22,31,49,18,41
ENSG00000005955,79893,GGNBP2,GGNBP2,20,34,37,17,10,15,11,6,13,19,8,16
ENSG00000005961,3674,ITGA2B,ITGA2B,7,12,8,14,7,22,2,18,40,48,20,11
ENSG00000005981,51666,ASB4,ASB4,26,8,20,66,55,30,43,35,25,30,55,19
ENSG00000006007,51573,GDE1,GDE1,39,110,91,52,78,162,44,67,88,69,73,118
ENSG00000006015,55049,C19orf60,C19orf60,4,13,4,12,0,18,1,0,8,6,3,2
ENSG00000006016,9244,CRLF1,CRLF1,2,20,1,3,11,5,0,0,0,10,3,0
ENSG00000006025,114881,OSBPL7,OSBPL7,2,20,13,11,15,18,5,5,4,5,16,41
ENSG00000006042,26022,TMEM98,TMEM98,53,56,71,58,121,103,67,151,143,80,64,135
ENSG00000006047,51087,YBX2,YBX2,11,32,12,32,21,27,31,18,16,23,25,40
ENSG00000006059,3883,KRT33A,KRT33A,663,439,649,722,1446,340,338,1231,614,1059,459,652
ENSG00000006062,NA,MAP3K14,MAP3K14,15,3,8,4,0,0,7,10,0,5,8,2
ENSG00000006071,6833,ABCC8,ABCC8,101,158,225,201,239,186,171,289,197,228,245,179
ENSG00000006074,6362,CCL18,CCL18,95,112,65,85,49,77,79,50,88,86,58,79
ENSG00000006075,6348,CCL3,CCL3,96,62,55,44,95,44,63,61,171,86,115,105
ENSG00000006114,11276,SYNRG,SYNRG,2,0,0,16,8,4,2,2,2,2,10,1
ENSG00000006116,10368,CACNG3,CACNG3,50,39,43,73,34,14,56,77,25,71,42,70
ENSG00000006118,54972,TMEM132A,TMEM132A,2,4,9,6,31,16,0,2,4,0,3,1
ENSG00000006125,163,AP2B1,AP2B1,0,0,0,4,0,0,0,0,0,0,0,0
ENSG00000006128,6863,TAC1,TAC1,21,62,52,74,123,46,40,59,30,43,44,122
ENSG00000006194,283876,ZNF263,ZNF263,13,7,13,9,19,2,2,12,23,22,5,14
ENSG00000006210,6376,CX3CL1,CX3CL1,18,71,81,22,28,87,39,36,56,48,64,29
ENSG00000006282,64847,SPATA20,SPATA20,7,1,1,5,0,2,6,4,0,16,1,2
ENSG00000006283,8913,CACNA1G,CACNA1G,33,44,25,10,14,16,7,16,20,7,21,23
ENSG00000006327,51330,TNFRSF12A,TNFRSF12A,88,213,94,117,106,96,152,132,162,168,47,143
ENSG00000006377,1750,DLX6,DLX6,8,9,0,0,6,4,1,0,1,8,3,0
ENSG00000006432,4293,MAP3K9,MAP3K9,46,56,42,52,78,48,31,28,43,37,48,54
ENSG00000006451,5898,RALA,RALA,47,16,19,15,25,44,36,26,11,34,22,25
ENSG00000006453,55971,BAIAP2L1,BAIAP2L1,31,15,18,18,14,46,16,25,38,15,34,20
ENSG00000006459,80853,KDM7A,KDM7A,62,87,52,70,70,84,66,44,59,41,85,147
ENSG00000006468,2115,ETV1,ETV1,91,74,53,121,60,64,135,95,142,101,106,29
ENSG00000006530,55750,AGK,AGK,22,14,27,31,58,15,32,33,20,21,34,3
ENSG00000006534,221,ALDH3B1,ALDH3B1,0,3,1,7,4,1,4,2,0,1,8,0
ENSG00000006555,55001,TTC22,TTC22,68,101,77,58,75,77,80,79,63,160,150,62
ENSG00000006576,57157,PHTF2,PHTF2,43,9,7,31,7,19,87,34,12,35,32,21
ENSG00000006606,10344,CCL26,CCL26,1,0,0,3,2,0,0,5,0,0,1,3
ENSG00000006607,9855,FARP2,FARP2,5,6,2,8,2,4,0,6,17,1,4,2
ENSG00000006611,10083,USH1C,USH1C,3,7,1,3,12,3,9,5,1,9,0,22
ENSG00000006625,79017,GGCT,GGCT,0,4,0,0,0,0,1,0,0,0,2,6
ENSG00000006634,10926,DBF4,DBF4,56,43,42,48,97,111,51,55,50,43,56,38
ENSG00000006638,6915,TBXA2R,TBXA2R,35,30,21,54,38,10,32,18,32,21,25,18
ENSG00000006652,3475,IFRD1,IFRD1,1,0,4,2,6,0,12,2,3,4,0,4
ENSG00000006659,56891,LGALS14,LGALS14,0,0,0,2,0,0,0,0,2,0,0,0
ENSG00000006695,1352,COX10,COX10,0,20,6,1,4,4,0,6,0,0,14,4
ENSG00000006704,9569,GTF2IRD1,GTF2IRD1,35,62,64,79,106,62,36,76,29,59,38,73
ENSG00000006712,54623,PAF1,PAF1,40,14,39,30,28,13,30,48,9,23,28,27
ENSG00000006715,27072,VPS41,VPS41,16,30,9,56,20,15,10,12,15,38,27,11
ENSG00000006740,9912,ARHGAP44,ARHGAP44,691,283,404,416,617,257,604,475,430,349,462,585
ENSG00000006744,60528,ELAC2,ELAC2,7,15,1,8,0,4,2,10,5,5,1,9
ENSG00000006747,85477,SCIN,SCIN,9,10,21,37,14,35,27,9,10,9,39,11
ENSG00000006756,414,ARSD,ARSD,6,5,13,27,5,8,25,20,2,13,8,15
ENSG00000006757,8228,PNPLA4,PNPLA4,3,17,19,3,5,8,0,0,11,1,7,14
ENSG00000006788,8735,MYH13,MYH13,0,1,1,5,1,7,4,0,6,1,0,0
ENSG00000006831,79602,ADIPOR2,ADIPOR2,9,11,28,11,21,9,13,8,8,56,8,8
ENSG00000006837,51265,CDKL3,CDKL3,27,21,16,11,59,80,41,20,30,35,28,37
ENSG00000007001,151531,UPP2,UPP2,16,9,34,17,30,37,14,18,9,34,27,21
ENSG00000007038,10942,PRSS21,PRSS21,1,4,1,3,2,5,0,10,0,18,0,9
ENSG00000007047,57787,MARK4,MARK4,51,47,68,58,69,29,62,55,85,61,39,43
ENSG00000007062,8842,PROM1,PROM1,4,0,0,11,5,1,0,6,0,0,0,0
ENSG00000007080,115098,CCDC124,CCDC124,14,6,13,40,14,33,13,14,4,33,14,33
ENSG00000007129,90273,CEACAM21,CEACAM21,62,51,73,88,49,65,59,51,26,97,90,77
ENSG00000007168,5048,PAFAH1B1,PAFAH1B1,34,11,5,15,40,31,12,43,13,20,19,34
ENSG00000007171,4843,NOS2,NOS2,12,7,5,16,19,24,9,11,23,21,39,9
ENSG00000007174,1770,DNAH9,DNAH9,36,33,38,28,33,8,11,46,39,15,35,24
ENSG00000007202,9703,KIAA0100,KIAA0100,1,27,12,2,2,6,14,3,7,5,1,12
ENSG00000007216,9058,SLC13A2,SLC13A2,4,1,3,2,3,0,4,0,12,3,9,4
ENSG00000007237,8522,GAS7,GAS7,7,7,9,11,0,16,4,7,2,13,10,0
ENSG00000007255,79090,TRAPPC6A,TRAPPC6A,44,45,22,31,36,22,37,34,14,8,52,32
ENSG00000007264,4145,MATK,MATK,11,38,18,16,34,44,35,28,25,40,23,18
ENSG00000007306,1087,CEACAM7,CEACAM7,8,8,28,14,8,22,8,37,17,21,9,7
ENSG00000007312,974,CD79B,CD79B,24,5,5,9,1,3,8,6,0,6,3,5
ENSG00000007314,6329,SCN4A,SCN4A,21,84,32,15,40,23,33,42,37,20,29,33
ENSG00000007341,54879,ST7L,ST7L,2,6,29,5,2,14,7,6,13,25,13,19
ENSG00000007350,8277,TKTL1,TKTL1,0,4,6,3,10,1,0,6,4,0,3,0
ENSG00000007372,5080,PAX6,PAX6,8,14,11,19,7,20,20,15,23,13,35,9
ENSG00000007376,113000,RPUSD1,RPUSD1,12,13,6,37,10,12,18,16,15,6,11,17
ENSG00000007384,64285,RHBDF1,RHBDF1,7,4,1,2,4,5,6,13,20,23,5,4
ENSG00000007392,55692,LUC7L,LUC7L,2,6,6,15,14,3,8,7,7,11,5,11
ENSG00000007402,9254,CACNA2D2,CACNA2D2,3,3,14,4,12,1,9,12,2,4,2,5
ENSG00000007516,8938,BAIAP3,BAIAP3,19,28,22,38,35,22,52,9,17,37,26,43
ENSG00000007520,115939,TSR3,TSR3,17,2,1,11,4,6,1,24,3,27,7,23
ENSG00000007541,9091,PIGQ,PIGQ,42,31,45,43,23,71,63,30,40,52,37,35
ENSG00000007545,57585,CRAMP1L,CRAMP1L,281,125,89,254,108,297,218,306,307,99,298,258
ENSG00000007866,7005,TEAD3,TEAD3,0,0,0,0,2,0,0,0,0,0,0,0
ENSG00000007908,6401,SELE,SELE,178,220,179,144,120,156,274,229,350,182,201,312
ENSG00000007923,55735,DNAJC11,DNAJC11,105,85,93,57,43,45,86,94,25,64,40,73
ENSG00000007933,2328,FMO3,FMO3,111,182,160,199,171,275,159,98,220,144,179,154
ENSG00000007944,29116,MYLIP,MYLIP,34,21,12,13,7,4,32,8,14,22,29,12
ENSG00000007952,27035,NOX1,NOX1,0,0,0,0,0,0,14,0,0,1,0,0
ENSG00000007968,1870,E2F2,E2F2,15,9,9,5,5,13,5,10,11,2,13,13
ENSG00000008018,5689,PSMB1,PSMB1,20,45,57,70,68,38,44,23,29,86,66,30
ENSG00000008056,6853,SYN1,SYN1,16,12,14,37,19,23,21,33,24,42,30,6
ENSG00000008083,3720,JARID2,JARID2,1,2,25,3,6,25,5,12,8,15,4,16
ENSG00000008086,6792,CDKL5,CDKL5,35,10,12,3,7,19,8,28,7,1,10,17
ENSG00000008118,57172,CAMK1G,CAMK1G,42,21,48,65,41,50,40,8,47,51,32,37
ENSG00000008128,728642,CDK11A,CDK11A,0,16,1,0,1,4,0,3,10,3,17,10
ENSG00000008130,65220,NADK,NADK,12,39,6,27,7,23,33,8,31,8,15,14
ENSG00000008196,7021,TFAP2B,TFAP2B,3,6,3,2,10,15,9,13,7,18,30,31
ENSG00000008197,83741,TFAP2D,TFAP2D,10,5,26,25,3,8,9,11,22,8,8,16
ENSG00000008226,9940,DLEC1,DLEC1,50,65,25,28,18,20,41,78,41,20,28,14
ENSG00000008256,9265,CYTH3,CYTH3,103,140,123,122,87,103,102,59,74,88,142,94
ENSG00000008277,53616,ADAM22,ADAM22,11,29,32,19,9,5,7,7,12,15,3,17
ENSG00000008282,6856,SYPL1,SYPL1,56,127,57,124,61,80,131,104,40,101,91,231
ENSG00000008283,1534,CYB561,CYB561,49,25,45,31,33,25,8,19,13,44,9,15
ENSG00000008294,9043,SPAG9,SPAG9,12,12,5,8,5,14,10,7,39,12,8,12
ENSG00000008300,1951,CELSR3,CELSR3,13,27,14,1,18,13,11,9,9,12,11,12
ENSG00000008311,10157,AASS,AASS,276,181,176,290,293,224,195,203,160,151,465,267
ENSG00000008323,55200,PLEKHG6,PLEKHG6,3,4,10,23,55,16,13,2,23,20,0,1
ENSG00000008324,51188,SS18L2,SS18L2,184,291,136,111,153,144,280,132,149,188,353,122
ENSG00000008382,84954,MPND,MPND,85,250,42,65,60,162,154,168,120,154,86,52
ENSG00000008394,4257,MGST1,MGST1,16,3,8,3,10,27,23,7,0,11,5,10
ENSG00000008405,1407,CRY1,CRY1,9,1,11,8,10,2,0,10,2,4,3,24
ENSG00000008438,8993,PGLYRP1,PGLYRP1,4,3,0,3,3,0,2,0,0,0,0,0
ENSG00000008441,4784,NFIX,NFIX,72,151,76,62,152,132,105,135,54,71,71,132
ENSG00000008513,6482,ST3GAL1,ST3GAL1,1,7,7,10,16,3,23,11,5,2,8,4
ENSG00000008516,64386,MMP25,MMP25,2,2,3,2,3,0,2,2,1,0,2,0
ENSG00000008517,9235,IL32,IL32,6,4,16,6,9,29,10,3,0,10,0,15
ENSG00000008710,101930075,PKD1,PKD1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000008735,23542,MAPK8IP2,MAPK8IP2,0,4,0,2,0,0,0,1,10,9,8,1
ENSG00000008838,102466757,MED24,MED24,74,77,85,18,55,56,25,47,87,100,83,10
ENSG00000008853,23221,RHOBTB2,RHOBTB2,98,34,53,46,53,39,34,42,51,57,34,37
ENSG00000008869,54497,HEATR5B,HEATR5B,105,52,44,74,71,46,72,63,131,53,37,64
ENSG00000008952,7095,SEC62,SEC62,53,83,25,100,114,47,78,50,57,34,73,15
ENSG00000008988,26795,RPS20,RPS20,79,54,60,46,23,43,47,31,40,62,86,76
ENSG00000009307,7812,CSDE1,CSDE1,0,1,1,4,5,0,1,2,10,1,3,1
ENSG00000009335,9690,UBE3C,UBE3C,24,13,36,24,37,19,29,19,42,35,43,16
ENSG00000009413,5980,REV3L,REV3L,10,17,11,3,11,5,12,19,1,8,9,9
ENSG00000009694,10178,TENM1,TENM1,9,29,33,33,21,20,12,34,19,49,34,14
ENSG00000009709,5081,PAX7,PAX7,73,115,70,42,25,79,23,54,109,27,32,65
ENSG00000009724,10747,MASP2,MASP2,3,1,3,4,2,10,6,0,2,3,9,7
ENSG00000009765,389434,IYD,IYD,3,8,3,32,7,8,3,18,9,28,1,0
ENSG00000009780,199870,FAM76A,FAM76A,3,3,2,0,0,3,0,14,3,2,0,0
ENSG00000009790,80342,TRAF3IP3,TRAF3IP3,34,38,45,21,57,64,11,31,27,69,37,14
ENSG00000009830,29954,POMT2,POMT2,10,5,3,7,9,6,9,3,0,4,25,7
ENSG00000009844,51534,VTA1,VTA1,0,5,6,6,4,2,2,3,3,10,4,4
ENSG00000009950,51085,MLXIPL,MLXIPL,2,2,8,1,2,1,0,5,0,0,0,2
ENSG00000009954,9031,BAZ1B,BAZ1B,2,1,0,8,0,0,0,0,0,1,0,0
ENSG00000010017,10048,RANBP9,RANBP9,7,9,9,0,10,9,0,26,5,11,4,49
ENSG00000010030,51513,ETV7,ETV7,11,19,29,10,10,10,15,5,19,29,8,22
ENSG00000010072,83932,SPRTN,SPRTN,17,15,9,1,26,23,18,5,22,4,12,8
ENSG00000010165,51603,METTL13,METTL13,147,335,386,273,241,190,311,265,269,89,193,336
ENSG00000010219,8798,DYRK4,DYRK4,107,92,81,166,129,182,64,73,138,140,92,83
ENSG00000010244,7756,ZNF207,ZNF207,17,9,6,16,10,2,6,7,10,17,13,10
ENSG00000010256,7384,UQCRC1,UQCRC1,8,2,2,4,5,3,4,7,0,16,6,2
ENSG00000010270,83930,STARD3NL,STARD3NL,5,43,25,8,27,13,15,24,22,3,19,53
ENSG00000010278,928,CD9,CD9,178,85,138,126,160,154,120,187,230,69,272,208
ENSG00000010282,57467,HHATL,HHATL,0,2,0,1,2,1,0,2,0,2,0,1
ENSG00000010292,9918,NCAPD2,NCAPD2,31,4,11,33,23,8,4,13,21,8,6,7
ENSG00000010295,25900,IFFO1,IFFO1,8,8,21,27,9,29,11,10,15,15,9,24
ENSG00000010310,2696,GIPR,GIPR,16,26,20,18,18,36,40,13,7,28,37,19
ENSG00000010318,51533,PHF7,PHF7,2,1,5,0,15,12,18,5,2,4,3,6
ENSG00000010319,56920,SEMA3G,SEMA3G,0,1,2,6,0,18,0,6,3,1,1,3
ENSG00000010322,11188,NISCH,NISCH,54,54,52,54,123,65,81,106,48,73,34,65
ENSG00000010327,23166,STAB1,STAB1,8,22,1,1,0,18,13,6,0,1,3,2
ENSG00000010361,80199,FUZ,FUZ,74,124,62,134,209,123,131,137,211,146,150,106
ENSG00000010379,6540,SLC6A13,SLC6A13,44,22,22,3,23,5,39,40,10,15,7,25
ENSG00000010404,3423,IDS,IDS,5,8,4,13,5,13,5,7,6,11,7,0
ENSG00000010438,5646,PRSS3,PRSS3,343,256,309,214,215,219,234,144,239,216,184,151
ENSG00000010539,7752,ZNF200,ZNF200,26,41,34,16,9,11,29,26,41,38,27,13
ENSG00000010610,920,CD4,CD4,15,29,19,26,78,36,36,38,16,47,22,23
ENSG00000010626,10233,LRRC23,LRRC23,5,1,7,13,5,18,8,15,5,19,16,13
ENSG00000010671,695,BTK,BTK,25,14,31,30,28,23,28,20,3,11,49,22
ENSG00000010704,3077,HFE,HFE,7,23,0,5,3,3,1,6,9,11,9,6
ENSG00000010803,22955,SCMH1,SCMH1,51,52,56,85,86,28,61,61,58,97,48,51
ENSG00000010810,2534,FYN,FYN,8,3,3,6,8,1,4,10,5,19,1,0
ENSG00000010818,3097,HIVEP2,HIVEP2,41,23,12,30,20,35,26,19,12,7,15,11
ENSG00000010932,2326,FMO1,FMO1,16,8,23,3,2,0,14,1,3,16,5,15
ENSG00000011007,6924,TCEB3,TCEB3,4,7,6,0,0,19,0,4,2,0,5,0
ENSG00000011009,11313,LYPLA2,LYPLA2,4,1,0,1,2,21,10,1,0,7,3,1
ENSG00000011021,1185,CLCN6,CLCN6,282,267,122,316,181,331,164,149,124,194,274,274
ENSG00000011028,9902,MRC2,MRC2,41,81,46,30,26,47,65,70,111,61,60,52
ENSG00000011052,654364,NME2,NME2,3,4,2,3,1,12,8,10,8,0,11,0
ENSG00000011083,6534,SLC6A7,SLC6A7,67,93,99,55,145,107,115,64,120,88,91,57
ENSG00000011105,10867,TSPAN9,TSPAN9,382,440,150,281,328,320,263,215,495,293,295,251
ENSG00000011114,55727,BTBD7,BTBD7,6,0,9,7,14,8,8,10,18,0,0,7
ENSG00000011132,9546,APBA3,APBA3,14,41,17,8,27,11,8,27,30,13,2,13
ENSG00000011143,54903,MKS1,MKS1,2,12,22,4,9,17,8,8,6,17,31,7
ENSG00000011198,51099,ABHD5,ABHD5,9,3,4,8,2,13,0,0,2,21,7,19
ENSG00000011201,3730,KAL1,KAL1,19,2,2,2,1,1,6,2,6,7,1,3
